Metric,Value
nDCG@5,8.836233347775173e-05
nDCG@10,8.789058348531828e-05
nDCG@25,8.789058348531828e-05
P@5,2.3822789187527628e-05
P@10,1.1911394593763814e-05
P@25,4.764557837505525e-06
Judged@5,2.3822789187527628e-05
Judged@10,1.1911394593763814e-05
Judged@25,4.764557837505525e-06
RR@5,0.00011719275326122457
RR@10,0.00011719275326122457
RR@25,0.00011719275326122457
AP@5,8.0017674972623e-05
AP@10,8.0017674972623e-05
AP@25,8.0017674972623e-05
